2026-05-28 10:14:51 | INFO     | patient_model._load_data | Nạp cơ sở dữ liệu bệnh nhân từ file CSV thành công (9 dòng).
2026-05-28 10:14:52 | INFO     | patient_controller.__init__ | Ứng dụng Quản lý Bệnh nhân bắt đầu khởi chạy cấu hình.
2026-05-28 10:20:09 | INFO     | patient_model._load_data | Nạp cơ sở dữ liệu bệnh nhân từ file CSV thành công (9 dòng).
2026-05-28 10:20:10 | INFO     | patient_controller.__init__ | Ứng dụng Quản lý Bệnh nhân bắt đầu khởi chạy.
2026-05-28 10:20:25 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: Tâm
2026-05-28 10:20:31 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: Tâm
2026-05-28 10:20:35 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: Tâm
2026-05-28 10:20:52 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: hh
2026-05-28 10:20:52 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: gg
2026-05-28 10:20:52 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: nan
2026-05-28 10:20:53 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: 77
2026-05-28 10:20:53 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: hhh
2026-05-28 10:20:54 | DEBUG    | patient_controller.show_detail_panel | Người dùng click xem hồ sơ chi tiết của bệnh nhân: Tâm
2026-05-28 10:20:55 | INFO     | patient_controller.show_stats | Người dùng yêu cầu xem thống kê chỉ số trung bình BMI.
2026-05-28 10:20:56 | INFO     | patient_controller.show_about | Người dùng xem thông tin giới thiệu phần mềm.
2026-05-28 10:24:35 | INFO     | patient_model._load_data | Nạp cơ sở dữ liệu bệnh nhân từ file CSV thành công (9 dòng).
2026-05-28 10:24:35 | INFO     | patient_controller.__init__ | Ứng dụng Quản lý Bệnh nhân bắt đầu khởi chạy.
2026-05-28 10:24:37 | INFO     | patient_controller.handle_double_click | Người dùng double-click vào vùng cột ID để yêu cầu sắp xếp.
2026-05-28 10:24:37 | INFO     | patient_model.sort_by_name | Đã sắp xếp lại danh sách bệnh nhân theo Tên (Chiều: A-Z)
